name;ctrip_code;timezone;offsetUtc
弗朗西斯堡;YAG;America/Winnipeg;-21600
萨摩斯岛;SMI;Europe/Athens;7200
皇后镇;ZQN;Pacific/Auckland;43200
巴统;BUS;Asia/Tbilisi;14400
卡利博;KLO;Asia/Manila;28800
木尔坦;MUX;Asia/Karachi;18000
比亚克;BIK;Asia/Jayapura;32400
黎牙实比;LGP;Asia/Manila;28800
卡塔尼亚;CTA;Europe/Rome;3600
吉斯伯恩;GIS;Pacific/Auckland;43200
波姆那;ACY;America/Chicago;-21600
米扬瓦利;MWD;Asia/Karachi;18000
索尔兹伯里;SRW;America/New_York;-18000
伯纳利欧;ABQ;America/Denver;-25200
巴黎(巴黎布尔歇机场);LBG;Europe/Paris;3600
昆士敦;UEE;Australia/Darwin;34200
巴特姆;BXM;Asia/Pontianak;25200
花莲;HUN;Asia/Taipei;28800
怀特科特;YZU;America/Chicago;-21600
索科托;SKO;Africa/Lagos;3600
凯夫拉维克;KEF;Atlantic/Reykjavik;0
阿什维尔;AVL;America/New_York;-18000
的里雅斯特;TRS;Europe/Rome;3600
彼得博勒;YPQ;America/Regina;-21600
塔拉哈西;TLH;America/New_York;-18000
基苏木;KIS;Africa/Nairobi;10800
芭堤雅;UTP;Asia/Bangkok;25200
伊瓜苏;IGR;America/Argentina/Cordoba;-10800
阿拉拉夸拉;ACR;America/Bogota;-18000
苏拉特;STV;Asia/Kolkata;19800
布瓦凯;BYK;Africa/Abidjan;0
大邱;TAE;Asia/Seoul;32400
布拉索斯;CLL;America/Chicago;-21600
普林塞萨港;PPS;Asia/Manila;28800
松兹瓦尔;SDL;Europe/Stockholm;3600
戈德港;JGO;America/Godthab;-10800
考内尔湾;CBA;America/Chicago;-21600
长崎;NGS;Asia/Tokyo;32400
提塞德;MME;Europe/London;0
布尔萨;XBO;Africa/Ouagadougou;0
拉什特;RAS;Asia/Tehran;12600
布兰登;YBR;America/Winnipeg;-21600
帕尔马;PMF;Europe/Rome;3600
阿萨布;ASA;Africa/Addis_Ababa;10800
阿鲁阿;RUA;Africa/Kampala;10800
帕尔马斯;PMW;America/Araguaina;-10800
上维耶斯卡;YLI;Europe/Helsinki;7200
瓦哈卡;OAX;America/Mexico_City;-21600
卡拉巴尔;CBQ;Africa/Lagos;3600
拉帕尔马;PLP;America/Panama;-18000
阿亚库乔港;PYH;America/Caracas;-14400
圭亚那城;CGU;America/Caracas;-14400
金格罗伊;KGY;Australia/Brisbane;36000
乔依绍尔湾;CHY;Pacific/Guadalcanal;39600
姆永济;MUY;Africa/Brazzaville;3600
平壤;FNJ;Asia/Pyongyang;30600
纳努基;NNU;America/Sao_Paulo;-10800
本斯巴赫;BSP;Pacific/Port_Moresby;36000
佩韦克;PWE;Asia/Anadyr;43200
比亚里茨;BIQ;Europe/Paris;3600
实里达;XSP;Asia/Singapore;28800
鲁亨盖里;RHG;Africa/Kigali;7200
达里;DRR;Australia/Darwin;34200
里耶卡;RJK;Europe/Zagreb;3600
布韦那文图;BUN;America/Bogota;-18000
法鲁;ZFA;America/Whitehorse;-28800
丹尼斯岛;DEI;Indian/Mahe;14400
古尔代盖;HRG;Africa/Cairo;7200
恩科洛;NKL;Africa/Brazzaville;3600
阿尔丹河;ADH;Asia/Yakutsk;32400
圣塔安那;SNA;America/Chicago;-21600
卡杜纳;KAD;Africa/Lagos;3600
图尔恰;TCE;Europe/Bucharest;7200
图巴;TOZ;Africa/Abidjan;0
奥兰治河;ORA;America/Argentina/Salta;-10800
马萨瓦;MSW;Africa/Addis_Ababa;10800
昆西;MQI;America/New_York;-18000
拉瓦拉科特;RAZ;Asia/Karachi;18000
阿瓦萨;AWA;Africa/Addis_Ababa;10800
克拉约瓦;CRA;Europe/Bucharest;7200
